English Word,English Correct Count,English Call Count,English Percent Correct,German Word,German Correct Count,German Call Count,German Percent Correct
too bad,18,29,62.07,Schade,14,17,82.35
The Admission ticket,12,16,75,Die Eintrittskarte,10,13,76.92
eight,10,10,100,acht,11,12,91.66666666666666
seven,11,11,100,sieben,11,11,100
her cat,11,14,78.57,ihre katze,10,11,90.91
easy,12,13,92.31,einfach,11,12,91.66666666666666
case,8,10,80,fall,13,19,68.42
only,10,10,100,nur,12,12,100
which,21,29,72.41,welche,16,19,84.21
he searches,10,12,83.33,er sucht,13,17,76.47
the shirt,11,11,100,das Hemd,10,10,100
to search,14,19,73.68,suchen,14,19,73.68
clothes,9,10,90,kleidung,13,14,92.86
dress,11,12,91.67,kleid,11,14,78.57142857142857
the suit jacket,12,14,85.71,das sakko,10,12,83.33
tuesday,12,13,92.31,dienstag,11,11,100
that's good,11,13,84.62,das geht,12,18,66.67
a little,12,12,100,ein bisschen,10,10,100
what is it like in,14,17,82.35,wie ist es in,12,19,63.16
mother language,14,20,70,Muttersprache,11,15,73.33333333333333
many,10,12,83.33,viele,10,13,76.92
Birthday,11,13,84.62,Geburtstag,13,13,100
to travel,12,15,80,reisen,17,26,65.38
still,14,19,73.68,noch,27,41,65.85
to know,14,18,77.78,kennen,14,19,73.68
student (female),16,22,72.73,Schülerin,12,13,92.31
too late,11,12,91.67,zu spät,12,16,75
in the back,28,40,70,ist hinten,12,13,92.31
the meat,13,16,81.25,das Fleisch,11,12,91.67
I eat,12,12,100,ich esse,14,17,82.35
the ice cream,12,14,85.71,das eis,10,11,90.91
the sugar,12,13,92.31,der zucker,12,12,100
without,11,11,100,ohne,10,10,100
the dessert,24,37,64.86,das nachtisch,11,11,100
fruit,11,12,91.67,obst,11,11,100
The Strawberry,10,11,90.91,Die Erdbeere,10,11,90.91
sweet,13,15,86.67,süß,12,12,100
to pay,14,18,77.78,zahlen,12,15,80
together,13,13,100,zusammen,10,10,100
separately,13,15,86.67,getrennt,12,14,85.71
cash,11,13,84.61538461538461,bar,11,13,84.62
The Church,11,12,91.67,Die Kirche,11,11,100
where from,10,11,90.91,woher,15,25,60
piano,11,12,91.67,Klavier,11,15,73.33
the game,26,36,72.22,das spiel,13,14,92.86
look,23,36,63.89,sieh mal,12,19,63.16
same,22,34,64.71,gleichen,18,27,66.67
what do i do,9,12,75,was mach ich,13,18,72.22
airport,11,12,91.67,flughafen,10,11,90.91
counter,12,14,85.71,schalter,14,16,87.5
years,13,13,100,jarhre,13,19,68.42
he gives,13,13,100,gibt,14,22,63.64
The Bag,10,10,100,Die Tüte,11,14,78.57
favorite color,10,13,76.92,Lieblingsfarbe,10,12,83.33
funny,11,12,91.67,lustig,15,20,75
Birthday Present,11,11,100,Geburtstagsgeschenk,15,20,75
class,10,13,76.92,kurs,11,14,78.57
The door,10,11,90.91,die Tür,11,12,91.66666666666666
do not leave,11,14,78.57,geh nicht weg,16,31,51.61
Fun,11,14,78.57,Spaß,13,17,76.47
do not be scared,11,15,73.33,Hab keine Angst,11,12,91.67
actually,15,20,75,eigentlich,18,29,62.07
us,11,12,91.67,uns,16,19,84.21
spring,9,9,100,Frühling,14,15,93.33
The Bathroom,11,11,100,Das Badezimmer,10,13,76.92
The River,10,10,100,Der Fluss,11,12,91.67
to visit,10,10,100,besuchen,11,17,64.71
city center,9,9,100,Stadtzentrum,12,12,100
to see,11,11,100,sehen,11,13,84.62
to the,13,16,81.25,zur,10,11,90.91
about,11,13,84.62,circa,11,14,78.57
straight ahead,11,12,91.67,geradeaus,11,12,91.66666666666666
then,13,13,100,dann,14,15,93.33
third,13,14,92.86,dritten,12,15,80
may,11,12,91.67,mai,13,13,100
fourth,12,12,100,vierten,11,14,78.57
second,11,13,84.61538461538461,zweiten,13,14,92.86
july,12,12,100,juli,11,11,100
the bus stop,14,21,66.67,Die Bushaltestelle,12,14,85.71
wait,11,11,100,warten sie,11,14,78.57
lasts,10,11,90.91,dauert,19,30,63.33
the taxi ride,12,15,80,die taxirahrt,11,12,91.67
The invitation,11,14,78.57,Die Einladung,12,18,66.67
definitely,12,16,75,auf jeden Fall,13,15,86.67
something,15,23,65.22,etwas,11,14,78.57
to hear,13,17,76.47,hören,11,14,78.57
the livingroom,12,16,75,das Wohnzimmer,11,11,100
to leave,12,18,66.67,verlassen,21,31,67.74
parrot,10,10,100,Papagei,11,11,100
the dinner,11,11,100,das Abendessen,9,12,75
the bottle,12,15,80,die flasche,12,14,85.71
whole,11,11,100,ganze,15,21,71.43
exercises,14,16,87.5,macht Sport,18,31,58.06
to want,12,15,80,wollen,12,13,92.31
i want,13,13,100,ich will,11,11,100
you want,13,13,100,du willst,10,10,100
we want,15,17,88.24,wir wollen,12,15,80
he wants,19,19,100,er will,11,11,100
the store,12,14,85.71,der laden,17,24,70.83
to fetch,11,14,78.57,holen,19,28,67.86
the key,22,25,88,der Schlüssel,11,11,100
floor,10,13,76.92,stock,15,17,88.24
to reside,23,36,63.89,wohnen,13,17,76.47
you can do it,14,17,82.35,du kannst das,11,11,100
tired,13,17,76.47,müde,11,12,91.66666666666666
to visit,19,19,100,besuchen,16,21,76.19
boring,16,20,80,langweilig,14,18,77.78
outside,14,16,87.5,draußen,16,21,76.19
already,22,28,78.57,schon,22,32,68.75
sad,11,12,91.67,traurig,13,17,76.47
at what time,14,16,87.5,um wie viel Uhr,11,11,100
next,15,16,93.75,nächste,21,27,77.78
week,14,16,87.5,woche,13,16,81.25
repeat,15,18,83.33,Wiederholen Sie,10,12,83.33
The Gift,18,24,75,das geschenk,13,15,86.67
to celebrate,12,14,85.71,feiern,15,20,75
can you (plural),20,27,74.07,könnt ihr,13,16,81.25
are you coming (plural),11,14,78.57,kommt ihr,15,20,75
where are you from,17,18,94.44,woher kommst du,11,12,91.67
to meet,13,15,86.67,treffen,15,18,83.33
headache,16,16,100,Kopfschmerzen,11,12,91.67
to forget,14,16,87.5,vergessen,17,22,77.27
because,17,17,100,denn,15,19,78.95
auto repair shop,13,16,81.25,Werkstat,14,17,82.35
angry,14,18,77.78,verärgert,20,28,71.43
the cell phone,16,16,100,das handy,15,16,93.75
more,15,15,100,mehr,17,17,100
sick,11,11,100,krank,16,16,100
at night,14,15,93.33,nachts,14,16,87.5
months,16,19,84.21,monate,13,16,81.25
history,15,18,83.33,Geschichte,15,18,83.33
goes for a walk,12,17,70.59,geht spazieren,18,24,75
next to,11,13,84.62,neben,15,19,78.95
to clean,14,15,93.33,putzen,12,13,92.31
window,14,18,77.78,fenster,13,14,92.86
hours,16,19,84.21,Stunden,18,26,69.23
done,13,13,100,fertig,14,19,73.68
almost,16,17,94.12,fast,12,15,80
The Appointment,13,16,81.25,Der Termin,15,21,71.43
The painting,14,15,93.33,Das Bild,16,17,94.12
green,14,14,100,grüne,13,15,86.67
hair,12,12,100,Haare,12,18,66.67
head,13,13,100,kopf,16,18,88.89
the eyes,13,17,76.47,Die augen,13,16,81.25
through,20,29,68.97,durch,14,14,100
the forest,15,17,88.24,der wald,14,16,87.5
The witch,16,17,94.12,Die Hexe,14,14,100
stomachache,16,16,100,Bauchschmerzen,14,14,100
to remain,18,18,100,bleiben,22,31,70.97
wednesday,17,20,85,mittwoch,18,18,100
the plan,17,17,100,der plan,16,16,100
the plans,14,15,93.33,Die Pläne,17,19,89.47
unfortunately,15,15,100,leider,14,15,93.33
happy,17,21,80.95,glücklich,18,25,72
feel better,12,14,85.71,gute Besserung,13,17,76.47
friendly,16,18,88.89,freundlich,14,14,100
to live,17,19,89.47,leben,13,17,76.47
popular,20,27,74.07,beliebt,15,19,78.95
homework,15,19,78.95,Hausaufgaben,14,17,82.35
is fun,16,16,100,macht spaß,22,33,66.67
surprising,25,39,64.1,überraschend,19,31,61.29
them,13,16,81.25,ihnen,15,21,71.43
me too,18,19,94.74,ich auch,12,13,92.31
forehead,13,14,92.86,Stirn,19,24,79.17
earache,11,13,84.62,Ohrenschmerzen,12,14,85.71
to examine,13,13,100,untersuchen,21,34,61.76
ear,15,15,100,ohr,16,20,80
hurts,16,16,100,tut weh,16,17,94.12
alright,16,16,100,in Ordnung,16,16,100
to carry/wear,12,14,85.71,tragen,20,36,55.56
there is,16,17,94.12,es gibt,19,26,73.08
Ferris Wheel,17,22,77.27,Riesenrad,15,19,78.95
The People,12,14,85.71,Die Leute,14,16,87.5
The Fries,14,14,100,die pommes,15,19,78.95
are you (plural),12,14,85.71,seid ihr,13,19,68.42
early,14,14,100,früh,16,17,94.12
quarter to,17,17,100,Viertel vor,14,18,77.78
toothache,18,18,100,Zahnschmerzen,14,16,87.5
everywhere,11,11,100,überall,14,20,70
pink,12,12,100,rosa,14,14,100
co-workers,17,19,89.47,Arbeitskollegen,20,28,71.43
half,14,14,100,halb,21,27,77.78
to depart,14,15,93.33,abfahren,14,19,73.68
battery,17,18,94.44,Akku,16,19,84.21
on time,14,14,100,pünktlich,17,20,85
sweetheart,15,18,83.33,Schatz,14,15,93.33
to be right,15,16,93.75,stimmen,14,17,82.35
nice to meet you,18,19,94.74,Freut mich,19,25,76
at/with,17,17,100,bei,15,20,75
the adult,13,15,86.67,der Erwachsene,16,21,76.19
well done,19,26,73.08,Gut gemacht,17,20,85
to believe,13,15,86.67,glauben,14,16,87.5
never,16,16,100,nie,17,22,77.27
once a,17,19,89.47,einmal pro ,14,18,77.78
Shared apartment,19,20,95,Wohngemeinschaft,15,19,78.95
the shelf,18,22,81.82,das Regal,15,19,78.95
the microwave,19,20,95,das Mikrowelle,15,18,83.33
the refrigerator,19,22,86.36,der Kühlschrank,15,15,100
the garden,14,15,93.33,der garten,14,15,93.33
alone,18,20,90,allein,15,17,88.24
apartment building,16,16,100,Mehrfamilienhaus,17,20,85
in the,17,20,85,im,17,21,80.95
currently,17,17,100,zurzeit,14,16,87.5
stairs,20,20,100,Treppe,15,20,75
dangerous,20,31,64.52,gefährlich,14,21,66.67
if,9,12,75,wenn,10,16,62.5
to be crazy,7,8,87.5,spinnen,12,19,63.16
to draw,7,7,100,zeichnen,9,12,75
finally,7,8,87.5,endlich,10,12,83.33
stuff,7,7,100,sachen,22,36,61.11
pretty,7,8,87.5,hübsch,8,11,72.72727272727273
better,7,7,100,besser,8,8,100
quiet,8,9,88.89,ruhig,7,10,70
flour,9,11,81.81818181818183,mehl,10,12,83.33333333333334
the neighbor (female),7,8,87.5,die Nachbarin,7,7,100
the neighbor (male),8,8,100,der Nachbar,12,19,63.16
silent,11,17,64.71,leise,16,28,57.14
the cup,7,8,87.5,die tasse,10,12,83.33333333333334
The office,7,8,87.5,das Büro,8,9,88.89
the boss,7,7,100,der chef,8,10,80
ham,8,10,80,Schinken,13,21,61.9
dining room,8,9,88.88888888888889,Esszimmer,11,17,64.71
The bedspread,9,10,90,die Bettdecke,10,11,90.9090909090909
the plant,7,8,87.5,Die Pflanze,9,12,75
soft,9,9,100,weich,11,16,68.75
the pillow,7,7,100,das Kopfkissen,9,10,90
to grow,9,13,69.23,wachsen,7,9,77.78
to cancel,11,18,61.11,stornieren,9,12,75
to hope,8,8,100,hoffen,11,11,100
her dog,11,15,73.33333333333333,ihr hund,8,9,88.88888888888889
his cat,7,7,100,seine katze,9,10,90
his dog,8,9,88.89,sein hund,8,10,80
your dog,7,8,87.5,dein hund,8,12,66.67
your beer,9,10,90,dein bier,11,14,78.57142857142857
your cat,7,8,87.5,deine katze,11,17,64.70588235294117
What time is it,9,12,75,Wie spät ist es?,8,9,88.89
short,7,7,100,kurz,8,8,100
should,8,9,88.89,shollen,11,17,64.70588235294117
at your place,8,11,72.73,bei dir,14,25,56
annoying,9,12,75,ärgerlich,10,15,66.66666666666666
courage,8,9,88.89,Mut,19,37,51.35
to feel,8,10,80,fühlen,10,16,62.5
goes away,7,7,100,geht weg,13,19,68.42
the dough,12,17,70.59,der teig,7,8,87.5
not yet,9,10,90,noch nicht,9,11,81.81818181818183
Important,13,22,59.09,Wichtig,10,13,76.92
to be late,11,16,68.75,zu spät kommen,12,17,70.59
The Exam,12,20,60,Die Prüfung,9,14,64.28571428571429
enough,12,17,70.59,genug,9,11,81.81818181818183
soon,8,9,88.89,bald,9,9,100
to pass,9,13,69.23,bestehen,11,17,64.70588235294117
what are you doing now,7,10,70,Was machst du gerade,8,9,88.89
are you alright,13,23,56.52,geht es dir gut,11,18,61.11
immediately,7,10,70,sofort,13,22,59.09
to shop,7,8,87.5,Einkaufen,9,13,69.23076923076923
let's go,12,19,63.16,lass uns gehen,9,11,81.81818181818183
in order to,7,10,70,damit,14,26,53.85
sizes,17,29,58.62,Größen,10,14,71.42857142857143
emergency,12,18,66.67,notfälle,7,9,77.78
towel,12,17,70.59,Handtuch,9,12,75
whom,9,9,100,wem,11,11,100
than me,7,7,100,als ich,14,23,60.87
probably,20,33,60.61,wahrscheinlich,8,12,66.67
to water,7,8,87.5,gießen,14,25,56
was,8,8,100,war,8,8,100
quite,12,19,63.16,ziemlich,22,41,53.66
The Promotion,16,26,61.54,Die Beförderung,9,14,64.29
awful,7,9,77.78,furchtbar,7,9,77.78
the joke,7,8,87.5,der witz,9,9,100
looks nice,11,17,64.70588235294117,sieht nett aus,7,9,77.78
certain,7,9,77.78,sicher,11,16,68.75
the glasses,7,9,77.78,die brille,7,7,100
the song,12,17,70.59,das leid,9,9,100
to remind,8,11,72.73,erinnern,12,22,54.55
it is,17,29,58.62,ich bin es,10,16,62.5
next time,8,8,100,nächstes Mal,11,11,100
last,11,15,73.33,letzte,9,9,100
name is,8,9,88.88888888888889,heiße,15,26,57.69
the armchair,8,11,72.73,der Sessel,11,16,68.75
broken,7,7,100,kaputt,7,7,100
the shower,8,8,100,die Dusche,8,8,100
content,8,10,80,zurfreiden,8,11,72.73
civil servant,7,7,100,Beamter,8,8,100
siblings,7,10,70,Geschwister,9,13,69.23
the turtle,7,8,87.5,die Schildkröte,8,8,100
well-behaved,8,9,88.89,brav,7,9,77.78
granddaughter,7,7,100,Enkelin,7,11,63.64
grandson,9,11,81.81818181818183,Enkel,9,12,75
unemployed,7,7,100,arbeitslos,9,10,90
the village,7,7,100,das dorf,8,12,66.67
the mustard,10,14,71.43,der senf,9,10,90
spicy,7,8,87.5,scharf,9,11,81.81818181818183
to get,9,10,90,bekommen,8,9,88.89
spinach,7,8,87.5,spinat,9,9,100
cookies,8,8,100,kekse,9,12,75
the holiday,7,8,87.5,der Feiertag,11,15,73.33333333333333
the stores,15,23,65.22,die Geschäfte,12,19,63.16
closed,13,24,54.17,geschlossen,8,12,66.66666666666666
the relatives,14,21,66.67,die Verwandten,10,16,62.5
to work,7,7,100,arbeiten,11,11,100
the hour,14,18,77.78,die stunde,8,8,100
closes,10,15,66.67,schließt,9,15,60
the id card,13,20,65,der ausweis,8,10,80
the drinks,8,10,80,die Getränke,10,11,90.9090909090909
the suitcase,7,9,77.78,der Koffer,11,11,100
the pen,7,8,87.5,der kugelschreiber,9,10,90
to sign,8,8,100,unterschreiben,7,9,77.78
the form,10,14,71.43,das formular,7,7,100
the dictionary,13,21,61.9,das Wörterbuch,9,10,90
is delayed,11,17,64.71,Verspätung,19,36,52.78
just in case,14,22,63.64,für den fall des falles,8,10,80
first name,7,7,100,Vorname,7,8,87.5
the resume,17,29,58.62,der Lebenslauf,10,15,66.67
the last name,10,15,66.67,Der Nachname,9,9,100
The Driver's License,7,9,77.78,Der Führerschein,11,18,61.11
to motivate,7,7,100,motivieren,15,22,68.18
the break,7,8,87.5,die pause,7,7,100
to smoke,7,9,77.78,rauchen,8,11,72.73
the end of the workday,11,14,78.57142857142857,der Feierabend,14,26,53.85
the bicycle,7,8,87.5,das fahrrad,11,18,61.11
wet,9,12,75,nass,8,10,80
The gym shoe,8,8,100,die Turnschuhe,15,25,60
than,8,9,88.88888888888889,als,7,8,87.5
midnight,7,9,77.78,Mitternacht,8,8,100
the month,12,18,66.67,der Monat,9,9,100
the day,7,7,100,der Tag,8,8,100
the year,8,9,88.88888888888889,das Jahr,9,9,100
the weekend,7,9,77.78,das Wochenende,9,9,100
the week,8,10,80,die Woche,9,10,90
the cucumber,9,10,90,die gurke,8,9,88.89
the health food store,16,27,59.26,der bioladen,7,7,100
shortly,7,8,87.5,gleich,12,20,60
the butcher shop,7,9,77.78,die Metzgerei,10,15,66.67
the pastry shop,7,8,87.5,die konditorei,8,10,80
the receipt,12,22,54.55,der Kassenzettel,7,7,100
have a nice day,11,18,61.11,einen schönen Tag noch,9,9,100
the bag,8,8,100,die Tüte,8,10,80
I do not care,14,22,63.64,das ist mir egal,12,19,63.16
empty,8,9,88.88888888888889,leer,11,15,73.33333333333333
someone,13,20,65,jemand,8,9,88.88888888888889
Happy Birthday,9,12,75,Alles Gute zum Geburtstag,9,9,100
the horse,7,7,100,das Pferd,10,10,100
very likely,7,10,70,ganz bestimmt,13,24,54.17
salty,9,9,100,salzig,7,7,100
the birthday card,8,10,80,die Geburtstagskarte,8,8,100
whom,10,16,62.5,wen,8,14,57.14
earlier,8,11,72.73,früher,9,10,90
first,10,13,76.92,zuerst,8,9,88.88888888888889
messy,10,15,66.67,unordentlich,8,8,100
the groceries,17,31,54.84,die Lebensmittel,10,15,66.67
lazy,8,9,88.89,faul,11,12,91.66666666666666
rude,21,40,52.5,unhöflich,8,11,72.72727272727273
helpful,7,8,87.5,hilfreich,8,8,100
the chores,14,23,60.87,die Hausarbeit,9,13,69.23076923076923
tidy,7,9,77.78,ordentlich,8,10,80
to fly,7,8,87.5,fliegen,7,7,100
sleep in,8,11,72.72727272727273,ausschlafen,10,19,52.63157894736842
niece,7,7,100,nichte,9,12,75
the luggage,12,20,60,das Gepäck,9,12,75
the departure,7,8,87.5,der abflug,9,15,60
have a good trip,7,7,100,gute Reise,11,17,64.70588235294117
exercise,7,9,77.78,Übung,14,25,56
Charger,13,22,59.09,Ladegerät,7,9,77.78
Outlet,15,25,60,Steckdosen,12,17,70.59
The anniversary,8,10,80,Der Jahrestag,11,16,68.75
to call,8,8,100,anrufen,9,10,90
to send,7,8,87.5,schicken,11,18,61.11
the necklace,7,7,100,die kette,9,13,69.23076923076923
The earrings,7,9,77.78,die Ohrringe,11,15,73.33
champagne,7,7,100,sekt,8,13,61.53846153846154
guest,9,14,64.29,gast,7,7,100
all the time,7,9,77.78,die ganze zeit,8,12,66.66666666666666
a few,9,9,100,ein paar,8,8,100
wedding,7,8,87.5,hochzeit,9,12,75
the account,14,21,66.67,das konto,9,10,90
to open,7,10,70,offnen,9,13,69.23076923076923
a necklace,8,8,100,eine kette,8,11,72.73
birthplace,9,10,90,geburtsort,9,11,81.82
The embassy,18,35,51.43,die botschaft,7,8,87.5
The pineapple,7,8,87.5,Die ananas,7,7,100
healthier,8,8,100,gesünder,7,9,77.78
to agree,11,18,61.11,zustimmen,10,16,62.5
The Activities,8,8,100,die Aktivitäten ,9,12,75
easier,7,7,100,einfacher,8,8,100
both,7,8,87.5,beide,7,8,87.5
to renew,23,46,50,verlängern,19,39,48.72
afterwards,7,9,77.78,nachher,8,11,72.73
excellent,7,10,70,spitze,9,12,75
a cold,7,7,100,eine  Erkältung,8,9,88.89
an excuse,7,9,77.78,eine Ausrede,8,9,88.88888888888889
over,8,8,100,vorbei,13,23,56.52
let me know,13,22,59.09,Sag Bescheid,11,16,68.75
to move,15,27,55.56,umziehen,10,13,76.92307692307693
to go out,7,7,100,ausgehen,8,10,80
the move,12,20,60,der Umzug,10,14,71.42857142857143
exhausting,7,9,77.78,anstrengend,11,19,57.89
glad,8,9,88.89,froh,12,20,60
peace,7,7,100,ruhe,10,15,66.66666666666666
the gift certificate,17,33,51.52,der Gutschein,11,18,61.11
to gift,8,11,72.73,schenken,17,29,58.62
lovely,10,16,62.5,herrlich,11,17,64.70588235294117
to try,8,10,80,probieren,8,10,80
whose,13,18,72.22,wessen,7,11,63.64
The Grapes,9,10,90,Die Trauben,9,11,81.82
the customers,15,26,57.69,die kunden,9,13,69.23
The Asparagus,8,10,80,Der Spargel,11,14,78.57142857142857
The baked goods,11,18,61.11,die Backwaren,8,9,88.89
beforehand,11,14,78.57142857142857,vorher,11,17,64.71
new year's eve,7,7,100,silvester,11,13,84.61538461538461
Christmas,8,8,100,Weihnachten,9,9,100
even,9,12,75,sogar,11,18,61.11
the fruit cake,11,15,73.33,der stollen,7,10,70
The Dentist,7,8,87.5,Der Zahnartz,7,7,100
strict,7,8,87.5,streng,9,13,69.23076923076923
to stand,8,9,88.89,stehen,9,11,81.81818181818183
the gloves,7,7,100,Die Handschuhe,9,11,81.81818181818183
for Christmas,8,8,100,zu weihnachten,8,8,100
since,7,8,87.5,seit,7,7,100
the mirror,7,7,100,der Spiegel,7,8,87.5
